timestamp,heart_rate,eeg_signal,room_temp,face_emotion,task,light_temp,light_intensity,humidity,pressure
2025-07-04 05:45:04.202817,81,beta-dominant,27.0,surprised,Startup Sequence,5384.4,366.1,41.4,973.2
2025-07-04 05:45:34.202817,86,beta-dominant,22.1,surprised,Startup Sequence,6041.9,1134.3,52.8,988.2
2025-07-04 05:46:04.202817,77,beta-dominant,28.2,surprised,Startup Sequence,6093.5,242.7,40.0,1006.0
2025-07-04 05:46:34.202817,87,beta-dominant,29.4,surprised,Startup Sequence,6011.4,931.7,26.7,1021.6
2025-07-04 05:47:04.202817,78,beta-dominant,29.5,surprised,Startup Sequence,5787.9,1088.5,68.0,991.2
2025-07-04 05:47:34.202817,87,beta-dominant,25.3,surprised,Startup Sequence,6094.8,1115.1,69.3,971.8
2025-07-04 05:48:04.202817,89,beta-dominant,28.2,surprised,Startup Sequence,4568.5,1116.1,48.4,1020.7
2025-07-04 05:48:34.202817,82,beta-dominant,27.3,surprised,Startup Sequence,5968.6,654.6,52.3,971.1
2025-07-04 05:49:04.202817,80,beta-dominant,26.4,surprised,Startup Sequence,5253.4,206.3,51.9,982.4
2025-07-04 05:49:34.202817,75,beta-dominant,27.1,surprised,Startup Sequence,6299.7,1100.5,50.4,1020.1
2025-07-04 05:50:04.202817,86,beta-dominant,27.0,surprised,Startup Sequence,5331.5,515.2,67.6,1012.8
2025-07-04 05:50:34.202817,90,beta-dominant,27.2,surprised,Startup Sequence,6294.3,235.9,42.5,1016.7
