timestamp,heart_rate,eeg_signal,room_temp,face_emotion,task,light_temp,light_intensity,humidity,pressure
2025-07-04 05:45:04.202817,95,alpha-suppressed,27.4,fear,Emergency Shutdown,4645.2,435.7,66.0,980.3
2025-07-04 05:45:34.202817,87,alpha-suppressed,25.0,fear,Emergency Shutdown,5201.3,644.8,60.2,1022.0
2025-07-04 05:46:04.202817,89,alpha-suppressed,28.7,fear,Emergency Shutdown,4811.6,1124.6,36.1,993.2
2025-07-04 05:46:34.202817,88,alpha-suppressed,29.4,fear,Emergency Shutdown,4886.8,174.2,36.2,1023.2
2025-07-04 05:47:04.202817,91,alpha-suppressed,27.4,fear,Emergency Shutdown,5141.1,581.2,61.0,1004.5
2025-07-04 05:47:34.202817,96,alpha-suppressed,24.0,fear,Emergency Shutdown,5712.1,596.2,25.9,1014.4
2025-07-04 05:48:04.202817,87,alpha-suppressed,27.0,fear,Emergency Shutdown,5619.6,561.4,51.8,1003.7
2025-07-04 05:48:34.202817,80,alpha-suppressed,28.2,fear,Emergency Shutdown,4875.7,630.1,35.1,995.8
2025-07-04 05:49:04.202817,90,alpha-suppressed,28.7,fear,Emergency Shutdown,5984.2,296.0,25.1,1014.8
2025-07-04 05:49:34.202817,86,alpha-suppressed,25.1,fear,Emergency Shutdown,5976.0,1198.5,37.1,1032.6
2025-07-04 05:50:04.202817,81,alpha-suppressed,23.7,fear,Emergency Shutdown,4850.7,957.8,57.3,996.3
2025-07-04 05:50:34.202817,88,alpha-suppressed,27.1,fear,Emergency Shutdown,5780.6,412.9,53.9,1028.9
