frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,nose_x,nose_y,shoulder_diff,head_forward,posture,movement_amount,movement_status
1,0.8684335947036743,0.8432214260101318,0.21522212028503418,0.7915006875991821,0.5211277604103088,0.6524990797042847,0.05172073841094971,-0.02070009708404541,Bad - Slouching,0,Unknown
2,0.8673640489578247,0.8421054482460022,0.2162892371416092,0.7894248366355896,0.5211272835731506,0.6566388607025146,0.0526806116104126,-0.020699359476566315,Bad - Slouching,0.008019600998460608,Still
3,0.8664153218269348,0.840556263923645,0.21666447818279266,0.7876427173614502,0.521044135093689,0.6589997410774231,0.052913546562194824,-0.020495764911174774,Bad - Slouching,0.006000145571184725,Still
4,0.866285502910614,0.8403943777084351,0.2170371264219284,0.7871251702308655,0.5210110545158386,0.6600701212882996,0.05326920747756958,-0.020650260150432587,Bad - Slouching,0.0019161479423596866,Still
5,0.8649604916572571,0.8391495943069458,0.21771177649497986,0.7843887209892273,0.5210091471672058,0.660951554775238,0.054760873317718506,-0.02032698690891266,Bad - Slouching,0.005517827434586738,Still
6,0.8645132780075073,0.8374307751655579,0.21763746440410614,0.7843645215034485,0.5209985971450806,0.6613723039627075,0.053066253662109375,-0.020076774060726166,Bad - Slouching,0.002275080472295155,Still
7,0.8640249371528625,0.8352311253547668,0.21852867305278778,0.7843760251998901,0.5208716988563538,0.6620819568634033,0.05085510015487671,-0.020405106246471405,Bad - Slouching,0.0038653980606031726,Still
8,0.8637979626655579,0.8341802358627319,0.21928568184375763,0.7839323282241821,0.5208789706230164,0.6620936989784241,0.050247907638549805,-0.020662851631641388,Bad - Slouching,0.0019663890557878876,Still
9,0.8635697364807129,0.8338422179222107,0.21925148367881775,0.7841061949729919,0.5209153890609741,0.6620856523513794,0.04973602294921875,-0.0204952210187912,Good,0.0006223469579120155,Still
10,0.863572895526886,0.8322064280509949,0.21993139386177063,0.7837627530097961,0.5208723545074463,0.6620826125144958,0.04844367504119873,-0.02087979018688202,Good,0.002440663159068465,Still
11,0.8635295629501343,0.831924319267273,0.2203868329524994,0.7834725975990295,0.5201953649520874,0.6620435118675232,0.04845172166824341,-0.02176283299922943,Good,0.0015035489734070678,Still
12,0.8635031580924988,0.8319075107574463,0.2207106351852417,0.783380925655365,0.520173966884613,0.6620375514030457,0.0485265851020813,-0.021932929754257202,Good,0.00039004234447163476,Still
13,0.8633190989494324,0.8310865163803101,0.22075259685516357,0.7833586931228638,0.5199081897735596,0.6625853776931763,0.04772782325744629,-0.022127658128738403,Good,0.001497754503002911,Still
14,0.8629330396652222,0.8302997350692749,0.22109630703926086,0.7836403250694275,0.5201206207275391,0.6626456379890442,0.04665940999984741,-0.021894052624702454,Good,0.0015415638245911106,Still
15,0.8629390001296997,0.8302901387214661,0.22060814499855042,0.7847641110420227,0.5202311277389526,0.6630170345306396,0.04552602767944336,-0.021542444825172424,Good,0.001624018565020867,Still
16,0.8627270460128784,0.8293473720550537,0.22049543261528015,0.7847586274147034,0.5202277898788452,0.6638234257698059,0.04458874464035034,-0.02138344943523407,Good,0.0018855427299499616,Still
17,0.8621336817741394,0.8290132284164429,0.22117312252521515,0.7846532464027405,0.520425021648407,0.6638315916061401,0.04435998201370239,-0.021228380501270294,Good,0.0015642146093722503,Still
18,0.8615709543228149,0.8289530277252197,0.22024211287498474,0.7855690121650696,0.5203691720962524,0.6638355255126953,0.043384015560150146,-0.0205373615026474,Good,0.0019278382628660816,Still
19,0.8611969947814941,0.8289497494697571,0.2191188633441925,0.787158191204071,0.5204132199287415,0.6638670563697815,0.041791558265686035,-0.019744709134101868,Good,0.0023742117811941994,Still
20,0.8613001704216003,0.8287001848220825,0.2192448377609253,0.787365734577179,0.5203405618667603,0.6640499234199524,0.041334450244903564,-0.019931942224502563,Good,0.0007096076370933171,Still
21,0.8610374331474304,0.8282861709594727,0.21929900348186493,0.7873432636260986,0.52060866355896,0.6640721559524536,0.04094290733337402,-0.019559554755687714,Good,0.0008180089452364189,Still
